Ticker,total_return
360ONE.NS,0.19686702548797622
3MINDIA.NS,0.16779918880674058
AADHARHFC.NS,0.0
AARTIIND.NS,0.4519172172152853
AAVAS.NS,0.4322945954519714
ABB.NS,0.5599130753095533
ABBOTINDIA.NS,0.040911744252085484
ABCAPITAL.NS,0.6110062402193727
ABFRL.NS,0.19981556237059572
ABLBL.NS,0.0
ABREL.NS,0.0
ABSLAMC.NS,0.0
ACC.NS,0.0
ACE.NS,0.0
ACMESOLAR.NS,0.0
ADANIENSOL.NS,0.0
ADANIENT.NS,0.20688416844845212
ADANIGREEN.NS,0.0059110023325872315
ADANIPORTS.NS,0.0
ADANIPOWER.NS,0.8092923427527092
AEGISLOG.NS,0.0
AEGISVOPAK.NS,0.0
AFCONS.NS,0.0
AFFLE.NS,0.0
AGARWALEYE.NS,0.0
AIAENG.NS,0.0
AIIL.NS,-0.0469645238287028
AJANTPHARM.NS,0.0
AKUMS.NS,0.0
AKZOINDIA.NS,0.0
ALKEM.NS,0.0
ALKYLAMINE.NS,0.0
ALOKINDS.NS,0.0
AMBER.NS,-0.05326214511216327
AMBUJACEM.NS,0.0
ANANDRATHI.NS,0.6164128530334603
ANANTRAJ.NS,-0.16779891173371814
ANGELONE.NS,-0.14193117012214965
APARINDS.NS,2.0425915208535548
APLAPOLLO.NS,0.0
APLLTD.NS,0.0
APOLLOHOSP.NS,0.0
APOLLOTYRE.NS,0.0
APTUS.NS,0.0
ARE&M.NS,0.0
ASAHIINDIA.NS,0.0
ASHOKLEY.NS,0.0
ASIANPAINT.NS,0.0
ASTERDM.NS,0.0
ASTRAL.NS,0.0
ASTRAZEN.NS,0.0
ATGL.NS,-0.3074404799010571
ATHERENERG.NS,0.0
ATUL.NS,0.0
AUBANK.NS,0.0
AUROPHARMA.NS,0.0
AWL.NS,0.09152636473511098
AXISBANK.NS,0.0
BAJAJ-AUTO.NS,0.0
BAJAJFINSV.NS,0.0
BAJAJHFL.NS,0.0
BAJAJHLDNG.NS,0.07764595851754479
BAJFINANCE.NS,0.0486851504074705
BALKRISIND.NS,0.0
BALRAMCHIN.NS,0.0
BANDHANBNK.NS,0.0
BANKBARODA.NS,0.0
BANKINDIA.NS,0.0
BASF.NS,-0.1853017433648056
BATAINDIA.NS,0.0
BAYERCROP.NS,0.0
BBTC.NS,0.0
BDL.NS,0.10898863951005289
BEL.NS,0.0
BEML.NS,0.0
BERGEPAINT.NS,0.0
BHARATFORG.NS,0.0
BHARTIARTL.NS,0.0
BHARTIHEXA.NS,0.0
BHEL.NS,0.0
BIKAJI.NS,0.0
BIOCON.NS,0.0
BLS.NS,0.3032506068489449
BLUEDART.NS,0.0
BLUEJET.NS,0.07395561921429267
BLUESTARCO.NS,0.0
BOSCHLTD.NS,0.0
BPCL.NS,0.0
BRIGADE.NS,0.0
BRITANNIA.NS,0.0
BSE.NS,1.7516668358779222
BSOFT.NS,0.0
CAMPUS.NS,0.0
CAMS.NS,0.0
CANBK.NS,0.0
CANFINHOME.NS,0.0
CAPLIPOINT.NS,0.0
CARBORUNIV.NS,0.0
CASTROLIND.NS,0.0
CCL.NS,0.0
CDSL.NS,0.0
CEATLTD.NS,0.0
CENTRALBK.NS,0.0
CENTURYPLY.NS,0.0
CERA.NS,0.0
CESC.NS,0.0
CGCL.NS,0.0
CGPOWER.NS,0.017219118058311868
CHALET.NS,0.0
CHAMBLFERT.NS,-0.20450440722026514
CHENNPETRO.NS,-0.1913206124825489
CHOICEIN.NS,-0.025136589786828263
CHOLAFIN.NS,0.0
CHOLAHLDNG.NS,0.0
CIPLA.NS,0.0
CLEAN.NS,0.0
COALINDIA.NS,0.0
COCHINSHIP.NS,0.07030625166827682
COFORGE.NS,-0.007762647078933078
COHANCE.NS,0.0
COLPAL.NS,0.0
CONCOR.NS,0.0
CONCORDBIO.NS,0.0
COROMANDEL.NS,0.0
CRAFTSMAN.NS,0.0
CREDITACC.NS,-0.06892210431165614
CRISIL.NS,0.0
CROMPTON.NS,0.0
CUB.NS,0.0
CUMMINSIND.NS,0.0
CYIENT.NS,0.0
DABUR.NS,0.0
DALBHARAT.NS,0.0
DATAPATTNS.NS,0.0
DBREALTY.NS,-0.20892013820943162
DCMSHRIRAM.NS,0.0
DEEPAKFERT.NS,0.16186599991718453
DEEPAKNTR.NS,0.0
DELHIVERY.NS,0.015489798502477206
DEVYANI.NS,0.0
DIVISLAB.NS,0.0
DIXON.NS,0.0
DLF.NS,0.0
DMART.NS,0.0
DOMS.NS,0.0
DRREDDY.NS,0.0
DUMMYDBRLT.NS,0.0
DUMMYSKFIN.NS,0.0
DUMMYTATAM.NS,0.0
ECLERX.NS,0.0
EICHERMOT.NS,0.0
EIDPARRY.NS,0.0
EIHOTEL.NS,0.0
ELECON.NS,0.47413738532001853
ELGIEQUIP.NS,0.0
EMAMILTD.NS,0.0
EMCURE.NS,0.0
ENDURANCE.NS,0.0
ENGINERSIN.NS,0.0
ENRIN.NS,0.0
ERIS.NS,0.0
ESCORTS.NS,0.0
ETERNAL.NS,0.0
EXIDEIND.NS,0.0
FACT.NS,0.1635194254079669
FEDERALBNK.NS,0.0
FINCABLES.NS,-0.01433662461830827
FINPIPE.NS,0.0
FIRSTCRY.NS,0.0
FIVESTAR.NS,0.0
FLUOROCHEM.NS,0.5875533347913483
FORCEMOT.NS,0.6532848843753001
FORTIS.NS,0.0
FSL.NS,0.0
GAIL.NS,0.0
GESHIP.NS,0.0
GICRE.NS,0.0
GILLETTE.NS,0.0
GLAND.NS,0.0
GLAXO.NS,0.0
GLENMARK.NS,0.0
GMDCLTD.NS,0.17974937017022574
GMRAIRPORT.NS,0.0
GODFRYPHLP.NS,-0.07318141947593831
GODIGIT.NS,0.0
GODREJAGRO.NS,0.0
GODREJCP.NS,0.0
GODREJIND.NS,0.0
GODREJPROP.NS,0.0
GPIL.NS,-0.3136289970986859
GRANULES.NS,0.0
GRAPHITE.NS,0.0
GRASIM.NS,0.0
GRAVITA.NS,0.02223400523596574
GRSE.NS,-0.4546194385587933
GSPL.NS,0.0
GUJGASLTD.NS,0.0
GVT&D.NS,2.2185226189454075
HAL.NS,0.05838526557071746
HAPPSTMNDS.NS,0.26919634351960586
HAVELLS.NS,0.0
HBLENGINE.NS,0.23248528772120552
HCLTECH.NS,0.0
HDFCAMC.NS,0.0
HDFCBANK.NS,0.0
HDFCLIFE.NS,0.0
HEG.NS,0.0
HEROMOTOCO.NS,0.0
HEXT.NS,0.0
HFCL.NS,0.0056022683463169964
HINDALCO.NS,0.0
HINDCOPPER.NS,-0.30178494082625795
HINDPETRO.NS,0.0
HINDUNILVR.NS,0.0
HINDZINC.NS,-0.24440355197757438
HOMEFIRST.NS,0.0
HONASA.NS,0.0
HONAUT.NS,0.0
HSCL.NS,0.21942535645097988
HUDCO.NS,0.48009410103981004
HYUNDAI.NS,0.0
ICICIBANK.NS,0.0
ICICIGI.NS,0.0
ICICIPRULI.NS,0.0
IDBI.NS,0.0
IDEA.NS,0.0
IDFCFIRSTB.NS,0.0
IEX.NS,0.0
IFCI.NS,-0.16239905452935113
IGIL.NS,0.0
IGL.NS,0.0
IIFL.NS,0.0
IKS.NS,0.0
INDGN.NS,0.0
INDHOTEL.NS,0.0
INDIACEM.NS,0.0
INDIAMART.NS,0.0
INDIANB.NS,0.0
INDIGO.NS,0.0
INDUSINDBK.NS,0.0
INDUSTOWER.NS,0.0
INFY.NS,0.0
INOXINDIA.NS,0.0
INOXWIND.NS,-0.09962835877236284
INTELLECT.NS,-0.020169770006251784
IOB.NS,0.0
IOC.NS,0.0
IPCALAB.NS,0.0
IRB.NS,0.0
IRCON.NS,0.09219373799527356
IRCTC.NS,-0.040656614860070696
IREDA.NS,0.0
IRFC.NS,0.8797267284875151
ITC.NS,0.0
ITCHOTELS.NS,0.0
ITI.NS,-0.06372729654391529
J&KBANK.NS,0.014109279868773156
JBCHEPHARM.NS,0.0
JBMA.NS,1.447755521580475
JINDALSAW.NS,1.7793635625613982
JINDALSTEL.NS,0.0
JIOFIN.NS,0.0
JKCEMENT.NS,0.0
JKTYRE.NS,0.0
JMFINANCIL.NS,-0.057978343844750195
JPPOWER.NS,-0.1778975403118921
JSL.NS,0.3865070855282707
JSWENERGY.NS,0.18986336909717197
JSWINFRA.NS,0.0
JSWSTEEL.NS,0.0
JUBLFOOD.NS,0.0
JUBLINGREA.NS,-0.11438958601497695
JUBLPHARMA.NS,0.0
JWL.NS,-0.2544389213066573
JYOTHYLAB.NS,0.0
JYOTICNC.NS,0.003944946254601964
KAJARIACER.NS,0.0
KALYANKJIL.NS,0.24675182026370152
KARURVYSYA.NS,0.28098165385414015
